price_section,241019SE,241021SE,241102SE,241104SE,241109SE,241111SE,241116SE,241118SE,241119SM,241130SE,241202SE,240118SE,240120SE,240125SE,240127SE,240201SE,240203SE,240215SE,240216SE,240229SE,240302SE,240314SE,240316SE,240404SE,240405SE,240411SE,240413SE,240418SE,240420SE,240425SE,240426SE,240502SE,240504SE,240516SE,240518SE,240530SE,240601SE,240606SE,240608SE,240613SE,240615SE,240616SM,
Dress Circle, $55.00 , $56.00 , $56.00 , $46.00 , $71.00 , $61.00 , $61.00 , $61.00 , $61.00 , $46.00 , $46.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $45.00 , $45.00 , $56.00 , $56.00 , $56.00 , $71.00 , $61.00 , $56.00 , $71.00 , $71.00 , $56.00 , $61.00 , $56.00 , $56.00 , $56.00 , $56.00 , $64.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $58.00 , $58.00 , $61.00 , $57.29 
Front Balcony, $37.00 , $37.00 , $37.00 , $37.00 , $37.00 , $37.00 , $43.00 , $37.00 , $43.00 , $36.00 , $28.00 , $38.00 , $38.00 , $38.00 , $38.00 , $43.00 , $29.60 , $37.00 , $38.00 , $38.00 , $37.00 , $38.00 , $48.00 , $43.00 , $38.00 , $53.00 , $53.00 , $38.00 , $43.00 , $38.00 , $38.00 , $39.00 , $38.00 , $38.00 , $38.00 , $38.00 , $38.00 , $36.00 , $38.00 , $40.00 , $40.00 , $43.00 , $39.04 
Front Loge, $20.00 , $110.00 , $110.00 , $111.00 , $136.00 , $136.00 , $116.00 , $123.00 , $116.00 , $101.00 , $101.00 , $111.00 , $111.00 , $111.00 , $111.00 , $116.00 , $88.00 , $111.00 , $111.00 , $111.00 , $110.00 , $111.00 , $111.00 , $116.00 , $111.00 , $126.00 , $126.00 , $116.00 , $109.00 , $111.00 , $111.00 , $111.00 , $111.00 , $20.00 , $116.00 , $111.00 , $111.00 , $111.00 , $111.00 , $109.00 , $123.00 , $116.00 , $108.79 
Front Orchestra, $32.00 , $32.00 , $39.00 , $32.00 , $58.00 , $65.00 , $38.00 , $32.00 , $32.00 , $18.00 , $18.00 , $33.00 , $33.00 , $37.00 , $33.00 , $38.00 , $70.00 , $33.00 , $33.00 , $33.00 , $33.00 , $31.00 , $33.00 , $42.00 , $33.00 , $31.00 , $32.00 , $38.00 , $43.00 , $38.00 , $38.00 , $33.00 , $38.00 , $43.00 , $33.00 , $42.00 , $33.00 , $33.00 , $33.00 , $45.00 , $45.00 , $38.00 , $36.83 
Main Orchestra, $55.00 , $55.00 , $55.00 , $46.00 , $55.00 , $55.00 , $61.00 , $61.00 , $61.00 , $46.00 , $46.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $61.00 , $56.00 , $71.00 , $66.00 , $61.00 , $61.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $56.00 , $60.00 , $58.00 , $63.00 , $56.79 
Middle Loge, $77.00 , $77.00 , $78.00 , $78.00 , $93.00 , $77.00 , $83.00 , $83.00 , $83.00 , $68.00 , $68.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $61.60 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $93.00 , $93.00 , $78.00 , $83.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $80.00 , $80.00 , $83.00 , $78.82 
Middle Orchestra, $78.00 , $78.00 , $78.00 , $78.00 , $93.00 , $77.00 , $83.00 , $83.00 , $83.00 , $76.00 , $68.00 , $78.00 , $78.00 , $78.00 , $78.00 , $83.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $88.00 , $83.00 , $78.00 , $93.00 , $93.00 , $83.00 , $83.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $78.00 , $76.00 , $78.00 , $78.00 , $78.00 , $80.00 , $80.00 , $85.00 , $80.05 
Premium Orchestra, $110.00 , $110.00 , $20.00 , $101.00 , $119.00 , $126.00 , $116.00 , $110.00 , $116.00 , $110.00 , $101.00 , $111.00 , $111.00 , $111.00 , $111.00 , $116.00 , $88.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $116.00 , $116.00 , $111.00 , $126.00 , $121.00 , $110.00 , $121.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $111.00 , $110.00 , $113.00 , $116.00 , $109.81 
Rear Balcony, $25.00 , $25.00 , $25.00 , $26.00 , $31.00 , $31.00 , $31.00 , $31.00 , $31.00 , $24.00 , $16.00 , $26.00 , $26.00 , $26.00 , $26.00 , $31.00 , $26.00 ,, $26.00 , $26.00 , $26.00 , $26.00 , $26.00 , $31.00 , $26.00 , $41.00 , $41.00 , $26.00 , $31.00 , $26.00 , $26.00 , $26.00 , $26.00 , $26.00 , $26.00 , $26.00 , $26.00 , $24.00 , $26.00 , $28.00 , $28.00 , $31.00 , $27.51 
Rear Orchestra, $44.00 , $44.00 , $35.00 , $35.00 , $44.00 , $60.00 , $50.00 , $50.00 , $50.00 , $30.00 , $30.00 , $45.00 , $45.00 , $45.00 , $45.00 , $50.00 , $35.20 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $50.00 , $45.00 , $60.00 , $60.00 , $45.00 , $50.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $45.00 , $49.00 , $49.00 , $52.00 , $45.65 
