price_section,241005SE,241007SE,240222SE,240224SE,240225SM,240321SE,240322SE,240323SE,240324SM,240509SE,240511SE
Dress Circle,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
Front Balcony,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Front Loge,125.0,20.0,126.0,126.0,131.0,136.0,125.0,126.0,126.0,131.0,126.0
Front Orchestra,45.0,45.0,51.0,46.0,51.0,56.0,56.0,45.0,45.0,57.0,46.0
Main Orchestra,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
Middle Loge,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Middle Orchestra,91.0,91.0,100.0,92.0,92.0,92.0,92.0,102.0,92.0,92.0,92.0
Premium Orchestra,20.0,125.0,125.0,126.0,126.0,126.0,126.0,126.0,126.0,131.0,126.0
Rear Balcony,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Rear Orchestra,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
